floors,layout,per_room_occ,responders,best_ms
5,BASELINE,7,1,5367.707117357507
5,BASELINE,7,2,4219.035917139319
5,BASELINE,7,3,3187.6915103598712
5,BASELINE,7,5,2866.464995968084
5,BASELINE,7,7,2738.186706397792
5,BASELINE,7,9,2411.3684925841453
5,BASELINE,8,1,5607.707117357507
5,BASELINE,8,2,4379.035917139319
5,BASELINE,8,3,3267.6915103598712
5,BASELINE,8,5,2922.464995968084
5,BASELINE,8,7,2778.186706397792
5,BASELINE,8,9,2443.3684925841453
5,BASELINE,9,1,5847.707117357507
5,BASELINE,9,2,4539.035917139319
5,BASELINE,9,3,3347.6915103598712
